,스킬이름,타입,위력,포켓몬
4508,거품광선,물,65,코산호
4509,바둥바둥,노말,0,코산호
4510,생명의물방울,물,0,코산호
4511,파워젬,바위,80,코산호
4512,대지의힘,땅,90,코산호
4513,HP회복,노말,0,코산호
4514,미러코트,에스퍼,0,코산호
4515,물대포,물,40,총어
4516,도우미,노말,0,총어
4517,물의파동,물,60,총어
4518,기충전,노말,0,총어
4519,환상빔,에스퍼,65,총어
4520,오로라빔,얼음,65,총어
4521,거품광선,물,65,총어
4522,록온,노말,0,총어
4523,기관총,풀,25,총어
4524,냉동빔,얼음,90,총어
4525,하이드로펌프,물,110,총어
4526,물붓기,물,0,총어
4527,파괴광선,노말,150,총어
4528,대포무노포,물,65,대포무노
4529,더스트슈트,독,120,대포무노
4530,락블레스트,바위,25,대포무노
4531,도우미,노말,0,대포무노
4532,물대포,물,40,대포무노
4533,김밥말이,노말,15,대포무노
4534,물의파동,물,60,대포무노
4535,기충전,노말,0,대포무노
4536,환상빔,에스퍼,65,대포무노
4537,오로라빔,얼음,65,대포무노
4538,거품광선,물,65,대포무노
4539,록온,노말,0,대포무노
4540,기관총,풀,25,대포무노
4541,냉동빔,얼음,90,대포무노
4542,하이드로펌프,물,110,대포무노
4543,물붓기,물,0,대포무노
4544,파괴광선,노말,150,대포무노
4545,프레젠트,노말,0,딜리버드
4546,회전부리,비행,80,딜리버드
4547,환상빔,에스퍼,65,만타인
4548,기관총,풀,25,만타인
4549,날개쉬기,비행,0,만타인
4550,몸통박치기,노말,40,만타인
4551,물대포,물,40,만타인
4552,초음파,노말,0,만타인
4553,날개치기,비행,60,만타인
4554,물의파동,물,60,만타인
4555,와이드가드,바위,0,만타인
4556,고속이동,에스퍼,0,만타인
4557,거품광선,물,65,만타인
4558,박치기,노말,70,만타인
4559,에어슬래시,비행,75,만타인
4560,아쿠아링,물,0,만타인
4561,뛰어오르다,비행,85,만타인
4562,돌진,노말,90,만타인
4563,하이드로펌프,물,110,만타인
4564,쪼기,비행,35,무장조
4565,째려보기,노말,0,무장조
4566,모래뿌리기,땅,0,무장조
4567,마구찌르기,노말,15,무장조
4568,메탈클로,강철,50,무장조
4569,고속이동,에스퍼,0,무장조
4570,날개치기,비행,60,무장조
4571,베어가르기,노말,70,무장조
4572,강철날개,강철,70,무장조
4573,보복,악,50,무장조
4574,회전부리,비행,80,무장조
4575,금속음,강철,0,무장조
4576,압정뿌리기,땅,0,무장조
4577,철벽,강철,0,무장조
4578,브레이브버드,비행,120,무장조
4579,째려보기,노말,0,델빌
4580,불꽃세례,불꽃,40,델빌
4581,멀리짖기,노말,0,델빌
4582,스모그,독,30,델빌
4583,울부짖기,노말,0,델빌
4584,물기,악,60,델빌
4585,불태우기,불꽃,60,델빌
4586,집단구타,악,0,델빌
4587,불꽃엄니,불꽃,65,델빌
4588,트집,악,0,델빌
4589,앙갚음,악,0,델빌
4590,속임수,악,95,델빌
4591,화염방사,불꽃,90,델빌
4592,깨물어부수기,악,80,델빌
4593,나쁜음모,악,0,델빌
4594,연옥,불꽃,100,델빌
4595,째려보기,노말,0,헬가
4596,불꽃세례,불꽃,40,헬가
4597,스모그,독,30,헬가
4598,번개엄니,전기,65,헬가
4599,멀리짖기,노말,0,헬가
4600,나쁜음모,악,0,헬가
4601,울부짖기,노말,0,헬가
4602,물기,악,60,헬가
4603,불태우기,불꽃,60,헬가
4604,집단구타,악,0,헬가
4605,불꽃엄니,불꽃,65,헬가
4606,트집,악,0,헬가
4607,앙갚음,악,0,헬가
4608,속임수,악,95,헬가
4609,화염방사,불꽃,90,헬가
4610,깨물어부수기,악,80,헬가
4611,연옥,불꽃,100,헬가
4612,바다회오리,물,35,킹드라
4613,하품,노말,0,킹드라
4614,물대포,물,40,킹드라
4615,째려보기,노말,0,킹드라
4616,연막,노말,0,킹드라
4617,회오리,드래곤,40,킹드라
4618,기충전,노말,0,킹드라
4619,용의숨결,드래곤,60,킹드라
4620,거품광선,물,65,킹드라
4621,고속이동,에스퍼,0,킹드라
4622,물의파동,물,60,킹드라
4623,용의파동,드래곤,85,킹드라
4624,하이드로펌프,물,110,킹드라
4625,용의춤,드래곤,0,킹드라
4626,비바라기,물,0,킹드라
4627,웨이브태클,물,120,킹드라
4628,몸통박치기,노말,40,코코리
4629,울음소리,노말,0,코코리
4630,웅크리기,노말,0,코코리
4631,바둥바둥,노말,0,코코리
4632,구르기,바위,30,코코리
4633,땅고르기,땅,60,코코리
4634,버티기,노말,0,코코리
4635,힘껏치기,노말,80,코코리
4636,돌진,노말,90,코코리
4637,애교부리기,페어리,0,코코리
4638,비장의무기,노말,140,코코리
4639,이판사판태클,노말,120,코코리
4640,불꽃엄니,불꽃,65,코리갑
4641,번개엄니,전기,65,코리갑
4642,뿔찌르기,노말,65,코리갑
4643,땅고르기,땅,60,코리갑
4644,울음소리,노말,0,코리갑
4645,웅크리기,노말,0,코리갑
4646,마구찌르기,노말,15,코리갑
4647,고속스핀,노말,50,코리갑
4648,구르기,바위,30,코리갑
4649,승부굳히기,악,60,코리갑
4650,탁쳐서떨구기,악,65,코리갑
4651,힘껏치기,노말,80,코리갑
4652,분함의발구르기,땅,75,코리갑
4653,겁나는얼굴,노말,0,코리갑
4654,지진,땅,100,코리갑
4655,기가임팩트,노말,150,코리갑
4656,웅크리기,노말,0,폴리곤2
4657,몸통박치기,노말,40,폴리곤2
4658,텍스처,노말,0,폴리곤2
4659,리사이클,노말,0,폴리곤2
4660,전자부유,전기,0,폴리곤2
4661,전기쇼크,전기,40,폴리곤2
4662,환상빔,에스퍼,65,폴리곤2
4663,텍스처2,노말,0,폴리곤2
4664,고속이동,에스퍼,0,폴리곤2
4665,HP회복,노말,0,폴리곤2
4666,방전,전기,80,폴리곤2
4667,트라이어택,노말,80,폴리곤2
4668,록온,노말,0,폴리곤2
4669,전자포,전기,120,폴리곤2
4670,파괴광선,노말,150,폴리곤2
4671,몸통박치기,노말,40,노라키
4672,째려보기,노말,0,노라키
4673,놀래키기,고스트,30,노라키
4674,최면술,에스퍼,0,노라키
4675,짓밟기,노말,65,노라키
4676,모래뿌리기,땅,0,노라키
4677,돌진,노말,90,노라키
4678,이상한빛,고스트,0,노라키
4679,명상,에스퍼,0,노라키
4680,역할,에스퍼,0,노라키
4681,사념의박치기,에스퍼,80,노라키
4682,봉인,에스퍼,0,노라키
4683,이판사판태클,노말,120,노라키
4684,스케치,노말,0,루브도
4685,몸통박치기,노말,40,배루키
4686,도우미,노말,0,배루키
4687,속이기,노말,40,배루키
4688,기충전,노말,0,배루키
4689,페인트,노말,30,카포에라
4690,몸통박치기,노말,40,카포에라
4691,도우미,노말,0,카포에라
4692,속이기,노말,40,카포에라
4693,기충전,노말,0,카포에라
4694,트리플킥,격투,10,카포에라
4695,전광석화,노말,40,카포에라
4696,자이로볼,강철,0,카포에라
4697,판별,격투,0,카포에라
4698,고속스핀,노말,50,카포에라
4699,와이드가드,바위,0,카포에라
4700,패스트가드,격투,0,카포에라
4701,기습,악,70,카포에라
4702,고속이동,에스퍼,0,카포에라
4703,구멍파기,땅,80,카포에라
4704,인파이트,격투,120,카포에라
4705,카운터,격투,0,카포에라
4706,죽기살기,노말,0,카포에라
4707,핥기,고스트,30,뽀뽀라
4708,막치기,노말,40,뽀뽀라
4709,눈싸라기,얼음,40,뽀뽀라
4710,흉내쟁이,노말,0,뽀뽀라
4711,염동력,에스퍼,50,뽀뽀라
4712,탐내다,노말,60,뽀뽀라
4713,노래하기,노말,0,뽀뽀라
4714,거짓울음,악,0,뽀뽀라
4715,냉동펀치,얼음,75,뽀뽀라
4716,사이코키네시스,에스퍼,90,뽀뽀라
4717,천사의키스,페어리,0,뽀뽀라
4718,검은눈빛,노말,0,뽀뽀라
4719,멸망의노래,노말,0,뽀뽀라
4720,눈보라,얼음,110,뽀뽀라
4721,전광석화,노말,40,에레키드
4722,째려보기,노말,0,에레키드
4723,전기쇼크,전기,40,에레키드
4724,충전,전기,0,에레키드
4725,스피드스타,노말,60,에레키드
4726,전격파,전기,60,에레키드
4727,전기자석파,전기,0,에레키드
4728,싫은소리,노말,0,에레키드
4729,번개펀치,전기,75,에레키드
4730,방전,전기,80,에레키드
4731,안다리걸기,격투,0,에레키드
4732,10만볼트,전기,90,에레키드
4733,빛의장막,에스퍼,0,에레키드
4734,번개,전기,110,에레키드
4735,스모그,독,30,마그비
4736,째려보기,노말,0,마그비
4737,불꽃세례,불꽃,40,마그비
4738,연막,노말,0,마그비
4739,클리어스모그,독,50,마그비
4740,화염바퀴,불꽃,60,마그비
4741,이상한빛,고스트,0,마그비
4742,겁나는얼굴,노말,0,마그비
4743,불꽃펀치,불꽃,75,마그비
4744,분연,불꽃,80,마그비
4745,안다리걸기,격투,0,마그비
4746,화염방사,불꽃,90,마그비
4747,쾌청,불꽃,0,마그비
4748,불대문자,불꽃,110,마그비
4749,몸통박치기,노말,40,밀탱크
4750,울음소리,노말,0,밀탱크
4751,구르기,바위,30,밀탱크
4752,웅크리기,노말,0,밀탱크
4753,짓밟기,노말,65,밀탱크
4754,치료방울,노말,0,밀탱크
4755,박치기,노말,70,밀탱크
4756,사념의박치기,에스퍼,80,밀탱크
4757,우유마시기,노말,0,밀탱크
4758,누르기,노말,85,밀탱크
4759,치근거리기,페어리,90,밀탱크
4760,애교부리기,페어리,0,밀탱크
4761,10만마력,땅,95,밀탱크
4762,천사의키스,페어리,0,해피너스
4763,차밍보이스,페어리,40,해피너스
4764,울음소리를,내어,정신적,해피너스
4765,탐내기,노말,60,해피너스
4766,애교,부리며,다가가,해피너스
4767,애교부리기,페어리,0,해피너스
4768,바라보고,방심을,상대의,해피너스
4769,막치기,노말,40,해피너스
4770,꼬리나,손,사용하여,해피너스
4771,흉내쟁이,노말,0,해피너스
4772,나온,기술을,내어,해피너스
4773,웅크리기,노말,0,해피너스
4774,둥글게,웅크려서,방어를,해피너스
4775,꼬리흔들기,노말,0,해피너스
4776,좌우로,귀엽게,방심을,해피너스
4777,에코보이스,노말,40,해피너스
4778,목소리로,상대를,매,해피너스
4779,생명의물방울,물,0,해피너스
4780,물을,흩뿌려서,배틀에,해피너스
4781,노래하기,노말,0,해피너스
4782,좋은,예쁜,들려주고,해피너스
4783,내던지기,악,0,해피너스
4784,한,도구를,내던져서,해피너스
4785,돌진,노말,90,해피너스
4786,기세로,상대에게,공격한다.,해피너스
4787,치유파동,에스퍼,0,해피너스
4788,날려서,최대,절반만큼,해피너스
4789,도우미,노말,0,해피너스
4790,돕는다.,도움받은,쓰는,해피너스
4791,빛의장막,에스퍼,0,해피너스
4792,동안,이상한,쳐서,해피너스
4793,이판사판태클,노말,120,해피너스
4794,걸고,상대에게,공격을,해피너스
4795,알낳기,노말,0,해피너스
4796,비장의무기,노말,140,해피너스
4797,중에,기억하고,기술을,해피너스
4798,치유소원,에스퍼,0,해피너스
4799,기절하지만,교대하여,포켓몬의,해피너스
4800,신속,노말,80,라이코
4801,전기쇼크,전기,40,라이코
4802,째려보기,노말,0,라이코
4803,충전,전기,0,라이코
4804,전광석화,노말,40,라이코
4805,스파크,전기,65,라이코
4806,물기,악,60,라이코
4807,명상,에스퍼,0,라이코
4808,울부짖기,노말,0,라이코
4809,번개엄니,전기,65,라이코
4810,멀리짖기,노말,0,라이코
4811,깨물어부수기,악,80,라이코
4812,신통력,에스퍼,80,라이코
4813,방전,전기,80,라이코
4814,리플렉터,에스퍼,0,라이코
4815,비바라기,물,0,라이코
4816,번개,전기,110,라이코
4817,전자포,전기,120,라이코
4818,불꽃세례,불꽃,40,앤테이
4819,째려보기,노말,0,앤테이
4820,짓밟기,노말,65,앤테이
4821,연막,노말,0,앤테이
4822,성스러운불꽃,불꽃,100,앤테이
4823,신속,노말,80,앤테이
4824,화염자동차,불꽃,60,앤테이
4825,물기,악,60,앤테이
4826,명상,에스퍼,0,앤테이
4827,울부짖기,노말,0,앤테이
4828,불꽃엄니,불꽃,65,앤테이
4829,겁나는얼굴,노말,0,앤테이
4830,깨물어부수기,악,80,앤테이
4831,신통력,에스퍼,80,앤테이
4832,분연,불꽃,80,앤테이
4833,뽐내기,노말,0,앤테이
4834,쾌청,불꽃,0,앤테이
4835,불대문자,불꽃,110,앤테이
4836,분화,불꽃,150,앤테이
4837,물대포,물,40,스이쿤
4838,째려보기,노말,0,스이쿤
4839,바람일으키기,비행,40,스이쿤
4840,흰안개,얼음,0,스이쿤
4841,절대영도,얼음,0,스이쿤
4842,신속,노말,80,스이쿤
4843,물의파동,물,60,스이쿤
4844,물기,악,60,스이쿤
4845,명상,에스퍼,0,스이쿤
4846,울부짖기,노말,0,스이쿤
4847,얼음엄니,얼음,65,스이쿤
4848,순풍,비행,0,스이쿤
4849,깨물어부수기,악,80,스이쿤
4850,신통력,에스퍼,80,스이쿤
4851,파도타기,물,90,스이쿤
4852,미러코트,에스퍼,0,스이쿤
4853,비바라기,물,0,스이쿤
4854,하이드로펌프,물,110,스이쿤
4855,눈보라,얼음,110,스이쿤
4856,몸통박치기,노말,40,애버라스
4857,향해서,몸,부딪쳐가며,애버라스
4858,째려보기,노말,0,애버라스
4859,눈초리로,겁을,상대의,애버라스
4860,돌떨구기,바위,50,애버라스
4861,바위를,들어올려,내던져서,애버라스
4862,보복,악,50,애버라스
4863,공격한다.,상대보다,공격할,애버라스
4864,물기,악,60,애버라스
4865,뾰족한,이빨로,공격한다.,애버라스
4866,겁나는얼굴,노말,0,애버라스
4867,얼굴로,노려보고,상대의,애버라스
4868,스톤샤워,바위,75,애버라스
4869,바위를,세차게,공격한다.,애버라스
4870,분함의발구르기,땅,75,애버라스
4871,발판,삼아,앞,애버라스
4872,싫은소리,노말,0,애버라스
4873,귀를,막아버리고,싫은,애버라스
4874,떨어뜨리기,바위,50,애버라스
4875,구슬을,던져서,있는,애버라스
4876,깨물어부수기,악,80,애버라스
4877,이빨로,상대를,부숴서,애버라스
4878,지진,땅,100,애버라스
4879,충격으로,자신의,있는,애버라스
4880,스톤에지,바위,100,애버라스
4881,바위를,상대에게,공격한다.,애버라스
4882,난동부리기,노말,120,애버라스
4883,동안,마구,부려서,애버라스
4884,모래바람,바위,0,애버라스
4885,동안,모래바람을,바위,애버라스
4886,파괴광선,노말,150,애버라스
4887,광선을,상대에게,공격한다.,애버라스
4888,몸통박치기,노말,40,데기라스
4889,향해서,몸,부딪쳐가며,데기라스
4890,째려보기,노말,0,데기라스
4891,눈초리로,겁을,상대의,데기라스
4892,돌떨구기,바위,50,데기라스
4893,바위를,들어올려,내던져서,데기라스
4894,보복,악,50,데기라스
4895,공격한다.,상대보다,공격할,데기라스
4896,철벽,강철,0,데기라스
4897,쇠처럼,단단하게,자신의,데기라스
4898,물기,악,60,데기라스
4899,뾰족한,이빨로,공격한다.,데기라스
4900,겁나는얼굴,노말,0,데기라스
4901,얼굴로,노려보고,상대의,데기라스
4902,스톤샤워,바위,75,데기라스
4903,바위를,세차게,공격한다.,데기라스
4904,분함의발구르기,땅,75,데기라스
4905,발판,삼아,앞,데기라스
4906,싫은소리,노말,0,데기라스
4907,귀를,막아버리고,싫은,데기라스
4908,떨어뜨리기,바위,50,데기라스
4909,구슬을,던져서,있는,데기라스
4910,깨물어부수기,악,80,데기라스
4911,이빨로,상대를,부숴서,데기라스
4912,지진,땅,100,데기라스
4913,충격으로,자신의,있는,데기라스
4914,스톤에지,바위,100,데기라스
4915,바위를,상대에게,공격한다.,데기라스
4916,난동부리기,노말,120,데기라스
4917,동안,마구,부려서,데기라스
4918,모래바람,바위,0,데기라스
4919,동안,모래바람을,바위,데기라스
4920,파괴광선,노말,150,데기라스
4921,광선을,상대에게,공격한다.,데기라스
4922,철벽,강철,0,마기라스
4923,쇠처럼,단단하게,자신의,마기라스
4924,악의파동,악,80,마기라스
4925,악의로,가득한,오라를,마기라스
4926,번개엄니,전기,65,마기라스
4927,모은,이빨로,상대를,마기라스
4928,얼음엄니,얼음,65,마기라스
4929,품은,이빨로,상대를,마기라스
4930,불꽃엄니,불꽃,65,마기라스
4931,두른,이빨로,상대를,마기라스
4932,몸통박치기,노말,40,마기라스
4933,향해서,몸,부딪쳐가며,마기라스
4934,째려보기,노말,0,마기라스
4935,눈초리로,겁을,상대의,마기라스
4936,돌떨구기,바위,50,마기라스
4937,바위를,들어올려,내던져서,마기라스
4938,보복,악,50,마기라스
4939,공격한다.,상대보다,공격할,마기라스
4940,물기,악,60,마기라스
4941,뾰족한,이빨로,공격한다.,마기라스
4942,겁나는얼굴,노말,0,마기라스
4943,얼굴로,노려보고,상대의,마기라스
4944,스톤샤워,바위,75,마기라스
4945,바위를,세차게,공격한다.,마기라스
4946,분함의발구르기,땅,75,마기라스
4947,발판,삼아,앞,마기라스
4948,싫은소리,노말,0,마기라스
4949,귀를,막아버리고,싫은,마기라스
4950,떨어뜨리기,바위,50,마기라스
4951,구슬을,던져서,있는,마기라스
4952,깨물어부수기,악,80,마기라스
4953,이빨로,상대를,부숴서,마기라스
4954,지진,땅,100,마기라스
4955,충격으로,자신의,있는,마기라스
4956,스톤에지,바위,100,마기라스
4957,바위를,상대에게,공격한다.,마기라스
4958,난동부리기,노말,120,마기라스
4959,동안,마구,부려서,마기라스
4960,모래바람,바위,0,마기라스
4961,동안,모래바람을,바위,마기라스
4962,파괴광선,노말,150,마기라스
4963,광선을,상대에게,공격한다.,마기라스
4964,기가임팩트,노말,150,마기라스
4965,힘을,모두,상대에게,마기라스
4966,바람일으키기,비행,40,루기아
4967,날려버리기,노말,0,루기아
4968,웨더볼,노말,50,루기아
4969,원시의힘,바위,60,루기아
4970,드래곤다이브,드래곤,100,루기아
4971,흰안개,얼음,0,루기아
4972,신비의부적,노말,0,루기아
4973,명상,에스퍼,0,루기아
4974,신통력,에스퍼,80,루기아
4975,HP회복,노말,0,루기아
4976,에어로블라스트,비행,100,루기아
4977,비바라기,물,0,루기아
4978,하이드로펌프,물,110,루기아
4979,미래예지,에스퍼,120,루기아
4980,불새,비행,140,루기아
4981,바람일으키기,비행,40,칠색조
4982,날려버리기,노말,0,칠색조
4983,웨더볼,노말,50,칠색조
4984,원시의힘,바위,60,칠색조
4985,생명의물방울,물,0,칠색조
4986,신비의부적,노말,0,칠색조
4987,명상,에스퍼,0,칠색조
4988,신통력,에스퍼,80,칠색조
4989,HP회복,노말,0,칠색조
4990,성스러운불꽃,불꽃,100,칠색조
4991,쾌청,불꽃,0,칠색조
4992,불대문자,불꽃,110,칠색조
4993,미래예지,에스퍼,120,칠색조
4994,불새,비행,140,칠색조
4995,오버히트,불꽃,130,칠색조
4996,염동력,에스퍼,50,세레비
4997,치료방울,노말,0,세레비
4998,메지컬리프,풀,60,세레비
4999,바톤터치,노말,0,세레비
5000,원시의힘,바위,60,세레비
5001,생명의물방울,물,0,세레비
5002,씨뿌리기,풀,0,세레비
5003,HP회복,노말,0,세레비
5004,미래예지,에스퍼,120,세레비
5005,치유소원,에스퍼,0,세레비
5006,리프스톰,풀,130,세레비
5007,멸망의노래,노말,0,세레비
5008,막치기,노말,40,나무지기
5009,째려보기,노말,0,나무지기
5010,나뭇잎,풀,40,나무지기
5011,전광석화,노말,40,나무지기
5012,메가드레인,풀,40,나무지기
5013,판별,격투,0,나무지기
5014,패스트가드,격투,0,나무지기
5015,승부굳히기,악,60,나무지기
5016,기가드레인,풀,75,나무지기
5017,힘껏치기,노말,80,나무지기
5018,그림자분신,노말,0,나무지기
5019,에너지볼,풀,90,나무지기
5020,싫은소리,노말,0,나무지기
5021,죽기살기,노말,0,나무지기
5022,리프스톰,풀,130,나무지기
5023,연속자르기,벌레,40,나무돌이
5024,칼등치기,노말,40,나무돌이
5025,시저크로스,벌레,80,나무돌이
5026,에너지볼,풀,90,나무돌이
5027,막치기,노말,40,나무돌이
5028,째려보기,노말,0,나무돌이
5029,나뭇잎,풀,40,나무돌이
5030,전광석화,노말,40,나무돌이
5031,메가드레인,풀,40,나무돌이
5032,판별,격투,0,나무돌이
5033,패스트가드,격투,0,나무돌이
5034,승부굳히기,악,60,나무돌이
5035,기가드레인,풀,75,나무돌이
5036,힘껏치기,노말,80,나무돌이
5037,그림자분신,노말,0,나무돌이
5038,리프블레이드,풀,90,나무돌이
5039,싫은소리,노말,0,나무돌이
5040,죽기살기,노말,0,나무돌이
5041,리프스톰,풀,130,나무돌이
5042,연속자르기,벌레,40,나무킹
5043,칼등치기,노말,40,나무킹
5044,시저크로스,벌레,80,나무킹
5045,에너지볼,풀,90,나무킹
5046,꼬리자르기,노말,–,나무킹
5047,막치기,노말,40,나무킹
5048,째려보기,노말,0,나무킹
5049,나뭇잎,풀,40,나무킹
5050,전광석화,노말,40,나무킹
5051,리프블레이드,풀,90,나무킹
5052,메가드레인,풀,40,나무킹
5053,판별,격투,0,나무킹
5054,패스트가드,격투,0,나무킹
5055,승부굳히기,악,60,나무킹
5056,기가드레인,풀,75,나무킹
5057,힘껏치기,노말,80,나무킹
5058,그림자분신,노말,0,나무킹
5059,싫은소리,노말,0,나무킹
5060,죽기살기,노말,0,나무킹
5061,리프스톰,풀,130,나무킹
5062,할퀴기,노말,40,아차모
5063,울음소리,노말,0,아차모
5064,불꽃세례,불꽃,40,아차모
5065,전광석화,노말,40,아차모
5066,니트로차지,불꽃,50,아차모
5067,판별,격투,0,아차모
5068,모래뿌리기,땅,0,아차모
5069,제비반환,비행,60,아차모
5070,베어가르기,노말,70,아차모
5071,뛰어오르기,비행,85,아차모
5072,기충전,노말,0,아차모
5073,화염방사,불꽃,90,아차모
5074,깃털댄스,비행,0,아차모
5075,기사회생,격투,0,아차모
5076,플레어드라이브,불꽃,120,아차모
5077,할퀴기,노말,40,영치코
5078,울음소리,노말,0,영치코
5079,불꽃세례,불꽃,40,영치코
5080,전광석화,노말,40,영치코
5081,깃털댄스,비행,0,영치코
5082,화염방사,불꽃,90,영치코
5083,두번차기,격투,30,영치코
5084,니트로차지,불꽃,50,영치코
5085,판별,격투,0,영치코
5086,모래뿌리기,땅,0,영치코
5087,제비반환,비행,60,영치코
5088,베어가르기,노말,70,영치코
5089,뛰어오르기,비행,85,영치코
5090,기충전,노말,0,영치코
5091,블레이즈킥,불꽃,85,영치코
5092,벌크업,격투,0,영치코
5093,기사회생,격투,0,영치코
5094,플레어드라이브,불꽃,120,영치코
5095,두번차기,격투,30,번치코
5096,할퀴기,노말,40,번치코
5097,울음소리,노말,0,번치코
5098,전광석화,노말,40,번치코
5099,불꽃펀치,불꽃,75,번치코
5100,화염방사,불꽃,90,번치코
5101,깃털댄스,비행,0,번치코
5102,불꽃세례,불꽃,40,번치코
5103,블레이즈킥,불꽃,85,번치코
5104,니트로차지,불꽃,50,번치코
5105,판별,격투,0,번치코
5106,모래뿌리기,땅,0,번치코
5107,제비반환,비행,60,번치코
5108,베어가르기,노말,70,번치코
5109,뛰어오르기,비행,85,번치코
5110,기충전,노말,0,번치코
5111,벌크업,격투,0,번치코
5112,기사회생,격투,0,번치코
5113,플레어드라이브,불꽃,120,번치코
5114,브레이브버드,비행,120,번치코
5115,몸통박치기,노말,40,물짱이
5116,울음소리,노말,0,물짱이
5117,물대포,물,40,물짱이
5118,바위깨기,격투,40,물짱이
5119,돌떨구기,바위,50,물짱이
5120,방어,노말,0,물짱이
5121,초음파,노말,0,물짱이
5122,물의파동,물,60,물짱이
5123,스톤샤워,바위,75,물짱이
5124,돌진,노말,90,물짱이
5125,망각술,에스퍼,0,물짱이
5126,파도타기,물,90,물짱이
5127,싫은소리,노말,0,물짱이
5128,죽기살기,노말,0,물짱이
5129,하이드로펌프,물,110,물짱이
5130,몸통박치기,노말,40,늪짱이
5131,울음소리,노말,0,늪짱이
5132,물대포,물,40,늪짱이
5133,바위깨기,격투,40,늪짱이
5134,머드샷,땅,55,늪짱이
5135,돌떨구기,바위,50,늪짱이
5136,방어,노말,0,늪짱이
5137,초음파,노말,0,늪짱이
5138,물의파동,물,60,늪짱이
5139,스톤샤워,바위,75,늪짱이
5140,돌진,노말,90,늪짱이
5141,망각술,에스퍼,0,늪짱이
5142,탁류,물,90,늪짱이
5143,싫은소리,노말,0,늪짱이
5144,죽기살기,노말,0,늪짱이
5145,하이드로펌프,물,110,늪짱이
5146,머드샷,땅,55,대짱이
5147,몸통박치기,노말,40,대짱이
5148,울음소리,노말,0,대짱이
5149,물대포,물,40,대짱이
5150,암해머,격투,100,대짱이
5151,지진,땅,100,대짱이
5152,파도타기,물,90,대짱이
5153,바위깨기,격투,40,대짱이
5154,돌떨구기,바위,50,대짱이
5155,방어,노말,0,대짱이
5156,초음파,노말,0,대짱이
5157,물의파동,물,60,대짱이
5158,스톤샤워,바위,75,대짱이
5159,돌진,노말,90,대짱이
5160,망각술,에스퍼,0,대짱이
5161,탁류,물,90,대짱이
5162,싫은소리,노말,0,대짱이
5163,죽기살기,노말,0,대짱이
5164,하이드로펌프,물,110,대짱이
5165,몸통박치기,노말,40,포챠나
5166,멀리짖기,노말,0,포챠나
5167,모래뿌리기,땅,0,포챠나
5168,물기,악,60,포챠나
5169,째려보기,노말,0,포챠나
5170,울부짖기,노말,0,포챠나
5171,뽐내기,노말,0,포챠나
5172,승부굳히기,악,60,포챠나
5173,겁나는얼굴,노말,0,포챠나
5174,도발,악,0,포챠나
5175,깨물어부수기,악,80,포챠나
5176,하품,노말,0,포챠나
5177,돌진,노말,90,포챠나
5178,기습,악,70,포챠나
5179,치근거리기,페어리,90,포챠나
5180,불꽃엄니,불꽃,65,그라에나
5181,얼음엄니,얼음,65,그라에나
5182,번개엄니,전기,65,그라에나
5183,깨물어부수기,악,80,그라에나
5184,도둑질,악,60,그라에나
5185,몸통박치기,노말,40,그라에나
5186,모래뿌리기,땅,0,그라에나
5187,물기,악,60,그라에나
5188,바크아웃,악,55,그라에나
5189,멀리짖기,노말,0,그라에나
5190,째려보기,노말,0,그라에나
5191,울부짖기,노말,0,그라에나
5192,뽐내기,노말,0,그라에나
5193,승부굳히기,악,60,그라에나
5194,겁나는얼굴,노말,0,그라에나
5195,도발,악,0,그라에나
5196,하품,노말,0,그라에나
5197,돌진,노말,90,그라에나
5198,기습,악,70,그라에나
5199,치근거리기,페어리,90,그라에나
5200,몸통박치기,노말,40,지그제구리
5201,울음소리,노말,0,지그제구리
5202,모래뿌리기,땅,0,지그제구리
5203,꼬리흔들기,노말,0,지그제구리
5204,탐내다,노말,60,지그제구리
5205,박치기,노말,70,지그제구리
5206,초롱초롱눈동자,페어리,0,지그제구리
5207,바늘미사일,벌레,25,지그제구리
5208,잠자기,에스퍼,0,지그제구리
5209,돌진,노말,90,지그제구리
5210,내던지기,악,0,지그제구리
5211,바둥바둥,노말,0,지그제구리
5212,배북,노말,0,지그제구리
5213,이판사판태클,노말,120,지그제구리
5214,베어가르기,노말,70,직구리
5215,바꿔치기,악,0,직구리
5216,바늘미사일,벌레,25,직구리
5217,초롱초롱눈동자,페어리,0,직구리
5218,몸통박치기,노말,40,직구리
5219,울음소리,노말,0,직구리
5220,모래뿌리기,땅,0,직구리
5221,꼬리흔들기,노말,0,직구리
5222,탐내다,노말,60,직구리
5223,박치기,노말,70,직구리
5224,손톱갈기,악,0,직구리
5225,마구할퀴기,노말,18,직구리
5226,잠자기,에스퍼,0,직구리
5227,돌진,노말,90,직구리
5228,내던지기,악,0,직구리
5229,바둥바둥,노말,0,직구리
5230,배북,노말,0,직구리
5231,이판사판태클,노말,120,직구리
5232,몸통박치기,노말,40,개무소
5233,실뿜기,벌레,0,개무소
5234,독침,독,15,개무소
5235,벌레먹음,벌레,60,개무소
5236,단단해지기,노말,0,실쿤
5237,바람일으키기,비행,40,뷰티플라이
5238,단단해지기,노말,0,뷰티플라이
5239,몸통박치기,노말,40,뷰티플라이
5240,실뿜기,벌레,0,뷰티플라이
5241,독침,독,15,뷰티플라이
5242,벌레먹음,벌레,60,뷰티플라이
