,스킬이름,타입,위력,포켓몬
4864,망각술,에스퍼,0,폭타
4865,분연,불꽃,80,폭타
4866,대지의힘,땅,90,폭타
4867,저주,고스트,0,폭타
4868,돌진,노말,90,폭타
4869,하품,노말,0,폭타
4870,지진,땅,100,폭타
4871,스모그,독,30,코터스
4872,불꽃세례,불꽃,40,코터스
4873,껍질에숨기,물,0,코터스
4874,고속스핀,노말,50,코터스
4875,연막,노말,0,코터스
4876,클리어스모그,독,50,코터스
4877,화염바퀴,불꽃,60,코터스
4878,방어,노말,0,코터스
4879,분연,불꽃,80,코터스
4880,누르기,노말,85,코터스
4881,철벽,강철,0,코터스
4882,화염방사,불꽃,90,코터스
4883,저주,고스트,0,코터스
4884,열풍,불꽃,95,코터스
4885,망각술,에스퍼,0,코터스
4886,연옥,불꽃,100,코터스
4887,껍질깨기,노말,0,코터스
4888,분화,불꽃,150,코터스
4889,튀어오르기,노말,0,피그점프
4890,염동력,에스퍼,50,피그점프
4891,울음소리,노말,0,피그점프
4892,환상빔,에스퍼,65,피그점프
4893,자기암시,노말,0,피그점프
4894,이상한빛,고스트,0,피그점프
4895,잠자기,에스퍼,0,피그점프
4896,파워젬,바위,80,피그점프
4897,코골기,노말,50,피그점프
4898,사이코쇼크,에스퍼,80,피그점프
4899,보복,악,50,피그점프
4900,사이코키네시스,에스퍼,90,피그점프
4901,뛰어오르기,비행,85,피그점프
4902,트림,독,120,피그킹
4903,튀어오르기,노말,0,피그킹
4904,염동력,에스퍼,50,피그킹
4905,환상빔,에스퍼,65,피그킹
4906,흔들흔들댄스,노말,0,피그킹
4907,자기암시,노말,0,피그킹
4908,이상한빛,고스트,0,피그킹
4909,사념의박치기,에스퍼,80,피그킹
4910,파워젬,바위,80,피그킹
4911,잠자기,에스퍼,0,피그킹
4912,코골기,노말,50,피그킹
4913,사이코쇼크,에스퍼,80,피그킹
4914,보복,악,50,피그킹
4915,사이코키네시스,에스퍼,90,피그킹
4916,뛰어오르기,비행,85,피그킹
4917,몸통박치기,노말,40,얼루기
4918,흉내쟁이,노말,0,얼루기
4919,흔들흔들댄스,노말,0,얼루기
4920,환상빔,에스퍼,65,얼루기
4921,최면술,에스퍼,0,얼루기
4922,누르기,노말,85,얼루기
4923,기습,악,70,얼루기
4924,흔들흔들댄스,노말,0,얼루기
4925,소란피기,노말,90,얼루기
4926,자기암시,노말,0,얼루기
4927,이판사판태클,노말,120,얼루기
4928,바둥바둥,노말,0,얼루기
4929,난동부리기,노말,120,얼루기
4930,모래뿌리기,땅,0,톱치
4931,놀래키기,고스트,30,톱치
4932,물기,악,60,톱치
4933,진흙뿌리기,땅,20,톱치
4934,모래지옥,땅,35,톱치
4935,땅고르기,땅,60,톱치
4936,구멍파기,땅,80,톱치
4937,깨물어부수기,악,80,톱치
4938,모래바람,바위,0,톱치
4939,대지의힘,땅,90,톱치
4940,지진,땅,100,톱치
4941,엄청난힘,격투,120,톱치
4942,땅가르기,땅,0,톱치
4943,구멍파기,땅,80,비브라바
4944,모래뿌리기,땅,0,비브라바
4945,물기,악,60,비브라바
4946,놀래키기,고스트,30,비브라바
4947,초음파,노말,0,비브라바
4948,땅고르기,땅,60,비브라바
4949,깨물어부수기,악,80,비브라바
4950,엄청난힘,격투,120,비브라바
4951,땅가르기,땅,0,비브라바
4952,용의숨결,드래곤,60,비브라바
4953,진흙뿌리기,땅,20,비브라바
4954,모래지옥,땅,35,비브라바
4955,드래곤테일,드래곤,60,비브라바
4956,싫은소리,노말,0,비브라바
4957,벌레의야단법석,벌레,90,비브라바
4958,모래바람,바위,0,비브라바
4959,대지의힘,땅,90,비브라바
4960,지진,땅,100,비브라바
4961,소란피기,노말,90,비브라바
4962,드래곤다이브,드래곤,100,비브라바
4963,폭음파,노말,140,비브라바
4964,용의숨결,드래곤,60,플라이곤
4965,땅고르기,땅,60,플라이곤
4966,모래뿌리기,땅,0,플라이곤
4967,초음파,노말,0,플라이곤
4968,용의춤,드래곤,0,플라이곤
4969,페인트,노말,30,플라이곤
4970,구멍파기,땅,80,플라이곤
4971,깨물어부수기,악,80,플라이곤
4972,엄청난힘,격투,120,플라이곤
4973,땅가르기,땅,0,플라이곤
4974,놀래키기,고스트,30,플라이곤
4975,물기,악,60,플라이곤
4976,드래곤클로,드래곤,80,플라이곤
4977,진흙뿌리기,땅,20,플라이곤
4978,모래지옥,땅,35,플라이곤
4979,드래곤테일,드래곤,60,플라이곤
4980,싫은소리,노말,0,플라이곤
4981,벌레의야단법석,벌레,90,플라이곤
4982,모래바람,바위,0,플라이곤
4983,대지의힘,땅,90,플라이곤
4984,지진,땅,100,플라이곤
4985,소란피기,노말,90,플라이곤
4986,드래곤다이브,드래곤,100,플라이곤
4987,폭음파,노말,140,플라이곤
4988,독침,독,15,선인왕
4989,째려보기,노말,0,선인왕
4990,흡수,풀,20,선인왕
4991,성장,노말,0,선인왕
4992,씨뿌리기,풀,0,선인왕
4993,모래뿌리기,땅,0,선인왕
4994,씨기관총,풀,25,선인왕
4995,기어오르기,악,20,선인왕
4996,뿌리박기,풀,0,선인왕
4997,보복,악,50,선인왕
4998,압정뿌리기,땅,0,선인왕
4999,기습,악,70,선인왕
5000,바늘미사일,벌레,25,선인왕
5001,에너지볼,풀,90,선인왕
5002,목화포자,풀,0,선인왕
5003,모래바람,바위,0,선인왕
5004,길동무,고스트,0,선인왕
5005,길동무,고스트,0,밤선인
5006,독침,독,15,밤선인
5007,째려보기,노말,0,밤선인
5008,흡수,풀,20,밤선인
5009,성장,노말,0,밤선인
5010,니들가드,풀,0,밤선인
5011,씨뿌리기,풀,0,밤선인
5012,모래뿌리기,땅,0,밤선인
5013,씨기관총,풀,25,밤선인
5014,기어오르기,악,20,밤선인
5015,뿌리박기,풀,0,밤선인
5016,보복,악,50,밤선인
5017,압정뿌리기,땅,0,밤선인
5018,기습,악,70,밤선인
5019,바늘미사일,벌레,25,밤선인
5020,에너지볼,풀,90,밤선인
5021,목화포자,풀,0,밤선인
5022,모래바람,바위,0,밤선인
5023,쪼기,비행,35,파비코
5024,울음소리,노말,0,파비코
5025,차밍보이스,페어리,40,파비코
5026,흰안개,얼음,0,파비코
5027,마구찌르기,노말,15,파비코
5028,돌림노래,노말,60,파비코
5029,용의숨결,드래곤,60,파비코
5030,신비의부적,노말,0,파비코
5031,노래하기,노말,0,파비코
5032,코튼가드,풀,0,파비코
5033,돌진,노말,90,파비코
5034,문포스,페어리,95,파비코
5035,멸망의노래,노말,0,파비코
5036,쪼아대기,비행,60,파비코리
5037,쪼기,비행,35,파비코리
5038,울음소리,노말,0,파비코리
5039,차밍보이스,페어리,40,파비코리
5040,흰안개,얼음,0,파비코리
5041,용의파동,드래곤,85,파비코리
5042,마구찌르기,노말,15,파비코리
5043,돌림노래,노말,60,파비코리
5044,용의숨결,드래곤,60,파비코리
5045,신비의부적,노말,0,파비코리
5046,노래하기,노말,0,파비코리
5047,코튼가드,풀,0,파비코리
5048,돌진,노말,90,파비코리
5049,문포스,페어리,95,파비코리
5050,멸망의노래,노말,0,파비코리
5051,불새,비행,140,파비코리
5052,할퀴기,노말,40,쟝고
5053,째려보기,노말,0,쟝고
5054,두번차기,격투,30,쟝고
5055,사슬묶기,노말,0,쟝고
5056,카운터,격투,0,쟝고
5057,마구할퀴기,노말,18,쟝고
5058,저주,고스트,0,쟝고
5059,바둥바둥,노말,0,쟝고
5060,배북,노말,0,쟝고
5061,페인트,노말,30,쟝고
5062,깜짝베기,악,70,쟝고
5063,더블어택,노말,35,쟝고
5064,패스트가드,격투,0,쟝고
5065,목숨걸기,격투,0,쟝고
5066,전광석화,노말,40,쟝고
5067,연속자르기,벌레,40,쟝고
5068,메탈클로,강철,50,쟝고
5069,손톱갈기,악,0,쟝고
5070,베어가르기,노말,70,쟝고
5071,기어오르기,악,20,쟝고
5072,브레이크클로,노말,75,쟝고
5073,칼등치기,노말,40,쟝고
5074,바꿔치기,악,0,쟝고
5075,판별,격투,0,쟝고
5076,시저크로스,벌레,80,쟝고
5077,도발,악,0,쟝고
5078,칼춤,노말,0,쟝고
5079,인파이트,격투,120,쟝고
5080,김밥말이,노말,15,세비퍼
5081,뽐내기,노말,0,세비퍼
5082,물기,악,60,세비퍼
5083,핥기,고스트,30,세비퍼
5084,포이즌테일,독,50,세비퍼
5085,페인트,노말,30,세비퍼
5086,싫은소리,노말,0,세비퍼
5087,뱀눈초리,노말,0,세비퍼
5088,맹독엄니,독,50,세비퍼
5089,베놈쇼크,독,65,세비퍼
5090,위액,독,0,세비퍼
5091,독찌르기,독,80,세비퍼
5092,흑안개,얼음,0,세비퍼
5093,깨물어부수기,악,80,세비퍼
5094,트림,독,120,세비퍼
5095,똬리틀기,독,0,세비퍼
5096,오물폭탄,독,90,세비퍼
5097,문포스,페어리,95,루나톤
5098,달의불빛,페어리,0,루나톤
5099,몸통박치기,노말,40,루나톤
5100,단단해지기,노말,0,루나톤
5101,염동력,에스퍼,50,루나톤
5102,돌떨구기,바위,50,루나톤
5103,최면술,에스퍼,0,루나톤
5104,록커트,바위,0,루나톤
5105,스톤샤워,바위,75,루나톤
5106,사이코쇼크,에스퍼,80,루나톤
5107,코스믹파워,에스퍼,0,루나톤
5108,사이코키네시스,에스퍼,90,루나톤
5109,스톤에지,바위,100,루나톤
5110,미래예지,에스퍼,120,루나톤
5111,매직룸,에스퍼,0,루나톤
5112,대폭발,노말,250,루나톤
5113,플레어드라이브,불꽃,120,솔록
5114,아침햇살,노말,0,솔록
5115,몸통박치기,노말,40,솔록
5116,단단해지기,노말,0,솔록
5117,염동력,에스퍼,50,솔록
5118,돌떨구기,바위,50,솔록
5119,최면술,에스퍼,0,솔록
5120,록커트,바위,0,솔록
5121,스톤샤워,바위,75,솔록
5122,사념의박치기,에스퍼,80,솔록
5123,코스믹파워,에스퍼,0,솔록
5124,사이코키네시스,에스퍼,90,솔록
5125,스톤에지,바위,100,솔록
5126,솔라빔,풀,120,솔록
5127,원더룸,에스퍼,0,솔록
5128,대폭발,노말,250,솔록
5129,진흙뿌리기,땅,20,미꾸리
5130,물대포,물,40,미꾸리
5131,잠자기,에스퍼,0,미꾸리
5132,코골기,노말,50,미꾸리
5133,물의파동,물,60,미꾸리
5134,망각술,에스퍼,0,미꾸리
5135,아쿠아테일,물,90,미꾸리
5136,탁류,물,90,미꾸리
5137,지진,땅,100,미꾸리
5138,미래예지,에스퍼,120,미꾸리
5139,땅가르기,땅,0,미꾸리
5140,트림,독,120,메깅
5141,사념의박치기,에스퍼,80,메깅
5142,간지르기,노말,0,메깅
5143,진흙뿌리기,땅,20,메깅
5144,물대포,물,40,메깅
5145,잠자기,에스퍼,0,메깅
5146,코골기,노말,50,메깅
5147,난동부리기,노말,120,메깅
5148,물의파동,물,60,메깅
5149,망각술,에스퍼,0,메깅
5150,아쿠아테일,물,90,메깅
5151,탁류,물,90,메깅
5152,지진,땅,100,메깅
5153,미래예지,에스퍼,120,메깅
5154,땅가르기,땅,0,메깅
5155,물대포,물,40,가재군
5156,단단해지기,노말,0,가재군
5157,째려보기,노말,0,가재군
5158,도발,악,0,가재군
5159,거품광선,물,65,가재군
5160,탁쳐서떨구기,악,65,가재군
5161,더블어택,노말,35,가재군
5162,방어,노말,0,가재군
5163,깜짝베기,악,70,가재군
5164,셸블레이드,물,75,가재군
5165,칼춤,노말,0,가재군
5166,깨물어부수기,악,80,가재군
5167,집게해머,물,100,가재군
5168,죽기살기,노말,0,가재군
5169,가위자르기,노말,0,가재군
5170,물대포,물,40,가재장군
5171,단단해지기,노말,0,가재장군
5172,째려보기,노말,0,가재장군
5173,도발,악,0,가재장군
5174,스피드스타,노말,60,가재장군
5175,거품광선,물,65,가재장군
5176,탁쳐서떨구기,악,65,가재장군
5177,더블어택,노말,35,가재장군
5178,방어,노말,0,가재장군
5179,깜짝베기,악,70,가재장군
5180,셸블레이드,물,75,가재장군
5181,칼춤,노말,0,가재장군
5182,깨물어부수기,악,80,가재장군
5183,집게해머,물,100,가재장군
5184,죽기살기,노말,0,가재장군
5185,가위자르기,노말,0,가재장군
5186,단단해지기,노말,0,오뚝군
5187,진흙뿌리기,땅,20,오뚝군
5188,고속스핀,노말,50,오뚝군
5189,염동력,에스퍼,50,오뚝군
5190,암석봉인,바위,60,오뚝군
5191,파워트릭,에스퍼,0,오뚝군
5192,환상빔,에스퍼,65,오뚝군
5193,원시의힘,바위,60,오뚝군
5194,봉인,에스퍼,0,오뚝군
5195,코스믹파워,에스퍼,0,오뚝군
5196,신통력,에스퍼,80,오뚝군
5197,대지의힘,땅,90,오뚝군
5198,자폭,노말,200,오뚝군
5199,가드셰어,에스퍼,0,오뚝군
5200,파워셰어,에스퍼,0,오뚝군
5201,모래바람,바위,0,오뚝군
5202,대폭발,노말,250,오뚝군
5203,파괴광선,노말,150,점토도리
5204,순간이동,에스퍼,0,점토도리
5205,단단해지기,노말,0,점토도리
5206,진흙뿌리기,땅,20,점토도리
5207,고속스핀,노말,50,점토도리
5208,염동력,에스퍼,50,점토도리
5209,암석봉인,바위,60,점토도리
5210,파워트릭,에스퍼,0,점토도리
5211,환상빔,에스퍼,65,점토도리
5212,원시의힘,바위,60,점토도리
5213,봉인,에스퍼,0,점토도리
5214,코스믹파워,에스퍼,0,점토도리
5215,신통력,에스퍼,80,점토도리
5216,대지의힘,땅,90,점토도리
5217,자폭,노말,200,점토도리
5218,가드셰어,에스퍼,0,점토도리
5219,파워셰어,에스퍼,0,점토도리
5220,모래바람,바위,0,점토도리
5221,대폭발,노말,250,점토도리
5222,김밥말이,노말,15,릴링
5223,놀래키기,고스트,30,릴링
5224,용해액,독,40,릴링
5225,이상한빛,고스트,0,릴링
5226,뿌리박기,풀,0,릴링
5227,원시의힘,바위,60,릴링
5228,메가드레인,풀,40,릴링
5229,소금물,물,65,릴링
5230,망각술,에스퍼,0,릴링
5231,위액,독,0,릴링
5232,기가드레인,풀,75,릴링
5233,비축하기,노말,0,릴링
5234,토해내기,노말,0,릴링
5235,꿀꺽,노말,0,릴링
5236,에너지볼,풀,90,릴링
5237,씨뿌리기,풀,0,릴리요
5238,김밥말이,노말,15,릴리요
5239,놀래키기,고스트,30,릴리요
5240,용해액,독,40,릴리요
5241,이상한빛,고스트,0,릴리요
5242,뿌리박기,풀,0,릴리요
5243,원시의힘,바위,60,릴리요
5244,메가드레인,풀,40,릴리요
5245,소금물,물,65,릴리요
5246,망각술,에스퍼,0,릴리요
5247,위액,독,0,릴리요
5248,기가드레인,풀,75,릴리요
5249,비축하기,노말,0,릴리요
5250,토해내기,노말,0,릴리요
5251,꿀꺽,노말,0,릴리요
5252,에너지볼,풀,90,릴리요
5253,연속자르기,벌레,40,아노딥스
5254,단단해지기,노말,0,아노딥스
5255,물대포,물,40,아노딥스
5256,떨어뜨리기,바위,50,아노딥스
5257,메탈크로우,강철,50,아노딥스
5258,원시의힘,바위,60,아노딥스
5259,벌레먹음,벌레,60,아노딥스
5260,소금물,물,65,아노딥스
5261,베어가르기,노말,70,아노딥스
5262,브레이크크루,노말,75,아노딥스
5263,락블레스트,바위,25,아노딥스
5264,방어,노말,0,아노딥스
5265,시저크로스,벌레,80,아노딥스
5266,연속자르기,벌레,40,아말도
5267,단단해지기,노말,0,아말도
5268,물대포,물,40,아말도
5269,떨어뜨리기,바위,50,아말도
5270,메탈크로우,강철,50,아말도
5271,원시의힘,바위,60,아말도
5272,벌레먹음,벌레,60,아말도
5273,소금물,물,65,아말도
5274,베어가르기,노말,70,아말도
5275,브레이크크루,노말,75,아말도
5276,락블레스트,바위,25,아말도
5277,방어,노말,0,아말도
5278,시저크로스,벌레,80,아말도
5279,튀어오르기,노말,0,빈티나
5280,몸통박치기,노말,40,빈티나
5281,바둥바둥,노말,0,빈티나
5282,바둥바둥,노말,0,밀로틱
5283,튀어오르기,노말,0,밀로틱
5284,몸통박치기,노말,40,밀로틱
5285,김밥말이,노말,15,밀로틱
5286,물대포,물,40,밀로틱
5287,물의파동,물,60,밀로틱
5288,차밍보이스,페어리,40,밀로틱
5289,회오리,드래곤,40,밀로틱
5290,아쿠아링,물,0,밀로틱
5291,헤롱헤롱,노말,0,밀로틱
5292,생명의물방울,물,0,밀로틱
5293,드래곤테일,드래곤,60,밀로틱
5294,HP회복,노말,0,밀로틱
5295,아쿠아테일,물,90,밀로틱
5296,신비의부적,노말,0,밀로틱
5297,파도타기,물,90,밀로틱
5298,비바라기,물,0,밀로틱
5299,똬리틀기,독,0,밀로틱
5300,하이드로펌프,물,110,밀로틱
5301,몸통박치기,노말,40,캐스퐁
5302,물대포,물,40,캐스퐁
5303,불꽃세례,불꽃,40,캐스퐁
5304,눈싸라기,얼음,40,캐스퐁
5305,박치기,노말,70,캐스퐁
5306,비바라기,물,0,캐스퐁
5307,쾌청,불꽃,0,캐스퐁
5308,싸라기눈,얼음,0,캐스퐁
5309,웨더볼,불꽃,50,캐스퐁
5310,하이드로펌프,물,110,캐스퐁
5311,불대문자,불꽃,110,캐스퐁
5312,눈보라,얼음,110,캐스퐁
5313,폭풍,비행,110,캐스퐁
5314,도둑질,악,60,켈리몬
5315,꼬리흔들기,노말,0,켈리몬
5316,놀래키기,고스트,30,켈리몬
5317,핥기,고스트,30,켈리몬
5318,할퀴기,노말,40,켈리몬
5319,조이기,노말,15,켈리몬
5320,야습,고스트,40,켈리몬
5321,페인트,노말,30,켈리몬
5322,마구할퀴기,노말,18,켈리몬
5323,사슬묶기,노말,0,켈리몬
5324,환상빔,에스퍼,65,켈리몬
5325,원시의힘,바위,60,켈리몬
5326,베어가르기,노말,70,켈리몬
5327,판별,격투,0,켈리몬
5328,섀도크루,고스트,70,켈리몬
5329,싫은소리,노말,0,켈리몬
5330,대타출동,노말,0,켈리몬
5331,기습,악,70,켈리몬
5332,속임수,악,95,켈리몬
5333,놀래키기,고스트,30,어둠대신
5334,싫은소리,노말,0,어둠대신
5335,나이트헤드,고스트,0,어둠대신
5336,원한,고스트,0,어둠대신
5337,도깨비불,불꽃,0,어둠대신
5338,야습,고스트,40,어둠대신
5339,병상첨병,고스트,65,어둠대신
5340,저주,고스트,0,어둠대신
5341,섀도볼,고스트,80,어둠대신
5342,역할,에스퍼,0,어둠대신
5343,기습,악,70,어둠대신
5344,트릭,에스퍼,0,어둠대신
5345,고스트다이브,고스트,90,어둠대신
5346,싫은소리,노말,0,다크펫
5347,나이트헤드,고스트,0,다크펫
5348,원한,고스트,0,다크펫
5349,탁쳐서떨구기,악,65,다크펫
5350,도깨비불,불꽃,0,다크펫
5351,야습,고스트,40,다크펫
5352,병상첨병,고스트,65,다크펫
5353,저주,고스트,0,다크펫
5354,섀도볼,고스트,80,다크펫
5355,역할,에스퍼,0,다크펫
5356,기습,악,70,다크펫
5357,트릭,에스퍼,0,다크펫
5358,고스트다이브,고스트,90,다크펫
5359,놀래키기,고스트,30,해골몽
5360,째려보기,노말,0,해골몽
5361,사슬묶기,노말,0,해골몽
5362,야습,고스트,40,해골몽
5363,이상한빛,고스트,0,해골몽
5364,나이트헤드,고스트,0,해골몽
5365,보복,악,50,해골몽
5366,도깨비불,불꽃,0,해골몽
5367,검은눈빛,노말,0,해골몽
5368,병상첨병,고스트,65,해골몽
5369,저주,고스트,0,해골몽
5370,섀도볼,고스트,80,해골몽
5371,미래예지,에스퍼,120,해골몽
5372,불꽃펀치,불꽃,75,미라몽
5373,냉동펀치,얼음,75,미라몽
5374,번개펀치,전기,75,미라몽
5375,중력,에스퍼,0,미라몽
5376,조이기,노말,15,미라몽
5377,놀래키기,고스트,30,미라몽
5378,째려보기,노말,0,미라몽
5379,사슬묶기,노말,0,미라몽
5380,야습,고스트,40,미라몽
5381,섀도펀치,고스트,60,미라몽
5382,이상한빛,고스트,0,미라몽
5383,나이트헤드,고스트,0,미라몽
5384,보복,악,50,미라몽
5385,도깨비불,불꽃,0,미라몽
5386,검은눈빛,노말,0,미라몽
5387,병상첨병,고스트,65,미라몽
5388,저주,고스트,0,미라몽
5389,섀도볼,고스트,80,미라몽
5390,미래예지,에스퍼,120,미라몽
5391,리프스톰,풀,130,트로피우스
5392,바람일으키기,비행,40,트로피우스
5393,째려보기,노말,0,트로피우스
5394,성장,노말,0,트로피우스
5395,잎날가르기,풀,55,트로피우스
5396,달콤한향기,노말,0,트로피우스
5397,짓밟기,노말,65,트로피우스
5398,매지컬리프,풀,60,트로피우스
5399,날려버리기,노말,0,트로피우스
5400,와이드가드,바위,0,트로피우스
5401,에어슬래시,비행,75,트로피우스
5402,누르기,노말,85,트로피우스
5403,역린,드래곤,120,트로피우스
5404,광합성,풀,0,트로피우스
5405,솔라빔,풀,120,트로피우스
5406,치유소원,에스퍼,0,치렁
5407,김밥말이,노말,15,치렁
5408,울음소리,노말,0,치렁
5409,놀래키기,고스트,30,치렁
5410,염동력,에스퍼,50,치렁
5411,하품,노말,0,치렁
5412,어시스트파워,에스퍼,20,치렁
5413,돌진,노말,90,치렁
5414,신통력,에스퍼,80,치렁
5415,치료방울,노말,0,치렁
5416,소란피기,노말,90,치렁
5417,신비의부적,노말,0,치렁
5418,이판사판태클,노말,120,치렁
5419,치유파동,에스퍼,0,치렁
5420,전광석화,노말,40,앱솔
5421,째려보기,노말,0,앱솔
5422,그림자분신,노말,0,앱솔
5423,탁쳐서떨구기,악,65,앱솔
5424,판별,격투,0,앱솔
5425,도발,악,0,앱솔
5426,베어가르기,노말,70,앱솔
5427,깜짝베기,악,70,앱솔
5428,기충전,노말,0,앱솔
5429,기습,악,70,앱솔
5430,칼춤,노말,0,앱솔
5431,미래예지,에스퍼,120,앱솔
5432,멸망의노래,노말,0,앱솔
5433,카운터,격투,0,마자
5434,미러코트,에스퍼,0,마자
5435,신비의부적,노말,0,마자
5436,길동무,고스트,0,마자
5437,튀어오르기,노말,0,마자
5438,애교부리기,페어리,0,마자
5439,앵콜,노말,0,마자
5440,망각술,에스퍼,0,마자
5441,눈싸라기,얼음,40,눈꼬마
5442,놀래키기,고스트,30,눈꼬마
5443,박치기,노말,70,눈꼬마
5444,째려보기,노말,0,눈꼬마
5445,그림자분신,노말,0,눈꼬마
5446,얼음뭉치,얼음,40,눈꼬마
5447,방어,노말,0,눈꼬마
5448,얼어붙은바람,얼음,55,눈꼬마
5449,얼음숨결,얼음,60,눈꼬마
5450,물기,악,60,눈꼬마
5451,얼음엄니,얼음,65,눈꼬마
5452,설경,얼음,0,눈꼬마
5453,웨더볼,노말,50,눈꼬마
5454,깨물어부수기,악,80,눈꼬마
5455,눈보라,얼음,110,눈꼬마
5456,절대영도,얼음,0,얼음귀신
5457,눈싸라기,얼음,40,얼음귀신
5458,놀래키기,고스트,30,얼음귀신
5459,박치기,노말,70,얼음귀신
5460,째려보기,노말,0,얼음귀신
5461,그림자분신,노말,0,얼음귀신
5462,프리즈드라이,얼음,70,얼음귀신
5463,얼음뭉치,얼음,40,얼음귀신
5464,방어,노말,0,얼음귀신
5465,얼어붙은바람,얼음,55,얼음귀신
5466,얼음숨결,얼음,60,얼음귀신
5467,물기,악,60,얼음귀신
5468,얼음엄니,얼음,65,얼음귀신
5469,설경,얼음,0,얼음귀신
5470,웨더볼,노말,50,얼음귀신
5471,깨물어부수기,악,80,얼음귀신
5472,눈보라,얼음,110,얼음귀신
5473,구르기,바위,30,대굴레오
5474,웅크리기,노말,0,대굴레오
5475,울음소리,노말,0,대굴레오
5476,물대포,물,40,대굴레오
5477,눈싸라기,얼음,40,대굴레오
5478,잠자기,에스퍼,0,대굴레오
5479,코골기,노말,50,대굴레오
5480,소금물,물,65,대굴레오
5481,오로라빔,얼음,65,대굴레오
5482,앵콜,노말,0,대굴레오
5483,누르기,노말,85,대굴레오
5484,파도타기,물,90,대굴레오
5485,눈보라,얼음,110,대굴레오
5486,싸라기눈,얼음,0,대굴레오
5487,절대영도,얼음,0,대굴레오
5488,뽐내기,노말,0,씨레오
5489,구르기,바위,30,씨레오
5490,웅크리기,노말,0,씨레오
5491,울음소리,노말,0,씨레오
5492,물대포,물,40,씨레오
5493,뽐내기,노말,0,씨레오
5494,눈싸라기,얼음,40,씨레오
5495,잠자기,에스퍼,0,씨레오
5496,코골기,노말,50,씨레오
5497,소금물,물,65,씨레오
5498,오로라빔,얼음,65,씨레오
5499,앵콜,노말,0,씨레오
5500,누르기,노말,85,씨레오
5501,파도타기,물,90,씨레오
5502,눈보라,얼음,110,씨레오
5503,싸라기눈,얼음,0,씨레오
5504,절대영도,얼음,0,씨레오
5505,뽐내기,노말,0,씨카이저
5506,깨물어부수기,악,80,씨카이저
5507,얼음엄니,얼음,65,씨카이저
5508,구르기,바위,30,씨카이저
5509,웅크리기,노말,0,씨카이저
5510,울음소리,노말,0,씨카이저
5511,물대포,물,40,씨카이저
5512,눈싸라기,얼음,40,씨카이저
5513,잠자기,에스퍼,0,씨카이저
5514,코골기,노말,50,씨카이저
5515,소금물,물,65,씨카이저
5516,오로라빔,얼음,65,씨카이저
5517,앵콜,노말,0,씨카이저
5518,누르기,노말,85,씨카이저
5519,파도타기,물,90,씨카이저
5520,눈보라,얼음,110,씨카이저
5521,싸라기눈,얼음,0,씨카이저
5522,절대영도,얼음,0,씨카이저
5523,물대포,물,40,진주몽
5524,바다회오리,물,35,진주몽
5525,철벽,강철,0,진주몽
5526,껍질깨기,노말,0,진주몽
5527,물대포,물,40,헌테일
5528,철벽,강철,0,헌테일
5529,껍질깨기,노말,0,헌테일
5530,바다회오리,물,35,헌테일
5531,물기,악,60,헌테일
5532,싫은소리,노말,0,헌테일
5533,겁나는얼굴,노말,0,헌테일
5534,비바라기,물,0,헌테일
5535,물의파동,물,60,헌테일
5536,얼음엄니,얼음,65,헌테일
5537,소금물,물,65,헌테일
5538,기습,악,70,헌테일
5539,다이빙,물,80,헌테일
5540,바톤터치,노말,0,헌테일
5541,깨물어부수기,악,80,헌테일
5542,아쿠아테일,물,90,헌테일
5543,똬리틀기,독,0,헌테일
5544,하이드로펌프,물,110,헌테일
5545,물대포,물,40,분홍장이
5546,철벽,강철,0,분홍장이
5547,껍질깨기,노말,0,분홍장이
5548,바다회오리,물,35,분홍장이
5549,염동력,에스퍼,50,분홍장이
5550,비바라기,물,0,분홍장이
5551,고속이동,에스퍼,0,분홍장이
5552,드레인키스,페어리,50,분홍장이
5553,물의파동,물,60,분홍장이
5554,망각술,에스퍼,0,분홍장이
5555,아쿠아링,물,0,분홍장이
5556,신비의부적,노말,0,분홍장이
5557,다이빙,물,80,분홍장이
5558,바톤터치,노말,0,분홍장이
5559,사이코키네시스,에스퍼,90,분홍장이
5560,아쿠아테일,물,90,분홍장이
5561,똬리틀기,독,0,분홍장이
5562,하이드로펌프,물,110,분홍장이
5563,몸통박치기,노말,40,시라칸
5564,단단해지기,노말,0,시라칸
5565,물대포,물,40,시라칸
5566,원시의힘,바위,60,시라칸
5567,하품,노말,0,시라칸
5568,다이빙,물,80,시라칸
5569,돌진,노말,90,시라칸
5570,아쿠아테일,물,90,시라칸
5571,잠자기,에스퍼,0,시라칸
5572,바둥바둥,노말,0,시라칸
5573,하이드로펌프,물,110,시라칸
5574,이판사판태클,노말,120,시라칸
5575,양날박치기,바위,150,시라칸
5576,몸통박치기,노말,40,사랑동이
5577,애교부리기,페어리,0,사랑동이
5578,물대포,물,40,사랑동이
5579,고속이동,에스퍼,0,사랑동이
5580,희망사항,노말,0,사랑동이
5581,물의파동,물,60,사랑동이
5582,헤롱헤롱,노말,0,사랑동이
5583,드레인키스,페어리,50,사랑동이
5584,바둥바둥,노말,0,사랑동이
5585,천사의키스,페어리,0,사랑동이
5586,돌진,노말,90,사랑동이
5587,초롱초롱눈동자,페어리,0,사랑동이
5588,아쿠아링,물,0,사랑동이
5589,물붓기,물,0,사랑동이
5590,하이드로펌프,물,110,사랑동이
5591,신비의부적,노말,0,사랑동이
